Name of Lead Agency,Agency Address - Line 1,Agency Address - Line 2,City,Zip Code,Lead Agency Website,Primary Contact Person,Lead Agency Phone Number,Lead Agency Email,Name of Program,Program Description,Number of Sites,Primary Site Address,,City,Zip Code,Primary Site Contact Person,Primary Site Phone Number,Primary Site Email Address,Area(s) of Focus,Days of Program Operation,Hours of Program Operation,Period of Operation,Eligibility Requirements,Capacity of Program,Grades Served,License Status,Fees,Transportation Provision,Does your program serve meals?,Please share any additional comments or notes
YMCA Buffalo Niagara,301 Cayuga Road,Suite 100,Buffalo,14225,ymcabuffaloniagara.org,,716-565-6000,n/a,School-Age Child Care,"YMCA school age child care is a convenient before- and after-school child care option.  Rather than staying home alone before or after school, kids ages 5 to 12 can enjoy safe, fun activities supervised by trained, caring YMCA staff.  Children enjoy arts and crafts, sports and games, homework time, special themes and more throughout the school year.",7,1620 Southwestern Blvd,,West Seneca,14224,Lindsay Clark,716-674-9622,lclark@mcabuffaloniagara.org,"Academic Support/ Homework Help, Sports/ Recreation/ Fitness, arts and crafts","Monday, Tuesday, Wednesday, Thursday, Friday","Morning session: 7am until the beginning of school
Afternoon session: Dismissal at 6pm
",School Year,Ages 5-12,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",School-Aged Child Care (SACC),"Effective September 2014 our SACC program will be tuition based in order to provide more consistency and convenience in our programs. There are two tuition options available: part time in which your child attends one to three days per week and full time in which your child attends four or five days per week. Our tuition is based on the price of the program for the year and then divided into 10 equal payments. Each month you will pay 1/10th of your total childcare bill, regardless of the number of school days actually occurring in that month.",We do not provide transportation,"Breakfast, Snack",
YMCA Buffalo Niagara,301 Cayuga Road,Suite 100,Buffalo,14225,ymcabuffaloniagara.org,,716-565-6000,n/a,School-Age Child Care,"YMCA school age child care is a convenient before- and after-school child care option.  Rather than staying home alone before or after school, kids ages 5 to 12 can enjoy safe, fun activities supervised by trained, caring YMCA staff.  Children enjoy arts and crafts, sports and games, homework time, special themes and more throughout the school year.",7,31 Central Ave,,Lancaster,14086,,716-684-2395,n/a,"Academic Support/ Homework Help, Sports/ Recreation/ Fitness, arts and crafts","Monday, Tuesday, Wednesday, Thursday, Friday","Morning session: 7am until the beginning of school
Afternoon session: Dismissal at 6pm
",School Year,Ages 5-12,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",School-Aged Child Care (SACC),$160.00/month,We do not provide transportation,"Breakfast, Snack",
YMCA Buffalo Niagara,301 Cayuga Road,Suite 100,Buffalo,14225,ymcabuffaloniagara.org,,716-565-6000,n/a,School-Age Child Care,"YMCA school age child care is a convenient before- and after-school child care option.  Rather than staying home alone before or after school, kids ages 5 to 12 can enjoy safe, fun activities supervised by trained, caring YMCA staff.  Children enjoy arts and crafts, sports and games, homework time, special themes and more throughout the school year.",7,1317 Portage Road ,,Niagara Falls,14301,Ehrin Hughes,716-285-8491,ehughes@ymcabuffaloniagara.org,"Academic Support/ Homework Help, Sports/ Recreation/ Fitness, arts and crafts","Monday, Tuesday, Wednesday, Thursday, Friday","Morning session: 7am until the beginning of school
Afternoon session: Dismissal at 6pm
",School Year,Ages 5-12,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",School-Aged Child Care (SACC),"Effective September 2014 our SACC program will be tuition based in order to provide more consistency and convenience in our programs. There are two tuition options available: part time in which your child attends one to three days per week and full time in which your child attends four or five days per week. Our tuition is based on the price of the program for the year and then divided into 10 equal payments. Each month you will pay 1/10th of your total childcare bill, regardless of the number of school days actually occurring in that month.",We do not provide transportation,"Breakfast, Snack",
Buffalo Dream Center,512 Pearl St,,Buffalo,14201,buffalodreamcenter.org,,716-854-1001,information@buffalodreamcenter.org,Kidz Club: After School Program,"Two-thirds of the Buffalo Dream Center is made up of people under the age of eighteen. Kidz Club presents the Gospel to inner city children in a fun, exciting, and relevant way. Every week children from high-risk neighborhoods are provided with free transportation by bus to the Buffalo Dream Center for the Kidz Club After School Program.  When the children arrive they enjoy a hot snack in the cafeteria. After eating many activities are offered including roller-skating, swimming, miniature golf, and dodge ball.  During the final forty-five minutes of the afternoon, the children are impacted with the Gospel through an exciting program filled with music, games, and powerful illustrations.",1,512 Pearl St,,Buffalo,14201,,716-854-1001,information@buffalodreamcenter.org,"Leadership/ Mentorship, Sports/ Recreation/ Fitness, teachings of the Gospel","Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,No age requirement,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th",,,"To the program, Home from the program",Snack,
Buffalo Dream Center,512 Pearl St,,Buffalo,14201,buffalodreamcenter.org,,716-854-1001,information@buffalodreamcenter.org,Kidz Club: Summer Program,"During the hot and humid summer months in Buffalo, Kidz Club hits the streets. The entire Kidz Club program is brought to empty lots and street corners throughout the city. Hundreds of children attend Kidz Club in the summer. They enjoy throwing footballs, skipping rope, and drawing on the sidewalks with chalk. A portable sound system lets the neighborhood know that Kidz Club is happening! Games, prizes, music, dances, dramas, and powerful object lessons are all combined to make the Gospel message exciting to the children.",1,512 Pearl St,,Buffalo,14201,,716-854-1001,buffalodreamcenter.org,"Sports/ Recreation/ Fitness, teachings of the Gospel","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",Summer Hours: Contact for more details,Summer,,,"1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th",,,"To the program, Home from the program",,
Valley Community Association,93 Leddy Street ,,Buffalo,14210,thevalleycenter.com,Lori Overdorf,716-823-4707,n/a,Night Gym Recreation,"The Gym is closed for free play during certain times. At other times, the Gym can be shared. ",1,93 Leddy Street ,,Buffalo,14210,Lori Overdorf,716-823-4707,n/a,Sports/ Recreation/ Fitness,"Tuesday, Wednesday, Thursday, Friday",5:30-9:00,School Year,Ages through 18 years old,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th",,No fees,We do not provide transportation,No meals provided,
Boys and Girls Club of East Aurora,24 Paine St,,East Aurora,14052,http://www.bgcea.org/,Deborah Becker,716-652-4180,dbecker@bgcea.org,School Age Program,"Reinforces academic enrichment, school engagement, decision making, and social development of young people.",1,24 Paine St,,East Aurora,14052,Deborah Becker,716-655-5051,dbecker@bgcea.org,Academic Support/ Homework Help/ Sports/ Recreation/ Fitness,Monday-Friday,School Year: 3:00-6:00pm / Summer & School Break 6:30am-6:00pm,School Year/Summer/ School Break, ,40,K-5th,School-Aged Child Care (SACC),Tuition Based,From the Elementary School to the Club,Snack,
Boys and Girls Club of East Aurora,24 Paine St,,East Aurora,14052,http://www.bgcea.org/,Deborah Becker,716-652-4180,dbecker@bgcea.org,School Age Program,"Reinforces academic enrichment, school engagement, decision making, and social development of young people.",1,141 Girard Ave,,East Aurora,14052,Deborah Becker,716-655-5051,dbecker@bgcea.org,Academic Support/ Homework Help/ Sports/ Recreation/ Fitness,Monday-Friday,School Year: 3:00-6:00pm / Summer & School Break 6:30am-6:00pm,School Year/Summer/ School Break, ,40,K-5th,School-Aged Child Care (SACC),Tuition Based,From the Elementary School to the Club,Snack,
Urban Christian Ministries,967 Jefferson Ave,,Buffalo,14204,urbanchristianministries.org,Rev. Patrick Tharp,716-882-9472,info@urbanchristianministries.org,Kids Club,"Increases social awareness utilizing daily life skills with homework time, crafts, and service projects.",1,967 Jefferson,,Buffalo,14204,Angela Lacey,716-882-9472,angie@urbanchristianministries.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Sports/ Recreation/ Fitness","Monday, Tuesday, Wednesday, Thursday",3pm to 6pm,School Year,Ages 5-12,60,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th",,No fees,"To the program, Home from the program","Dinner, Snack",
Aspire of WNY,4635 Union Rd,,Buffalo,14225,aspirewny.org,,716-838-0047    ,info@aspirewny.org,Weekend Respite Serives,"A fun-packed weekend respite service for all ages. We have weekend getaways, outings, and trips, completely dependent on the moods of our residents!",1,4635 Union Rd,,Buffalo,14225,,716-688-0876,info@aspirewny.org,"Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, Leadership/ Mentorship, Sports/ Recreation/ Fitness, weekend outings, field trips, getaways","Monday, Thursday, Friday, Saturday, Sunday",Thursdays at 2pm until Monday at 9am,"School Year, Summer, School Breaks",School age and above!,6 beds,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th, Older Youth/ Out of School, All older ages","med certified, g-tube certification coming soon",No fees,,"Breakfast, Lunch, Dinner, Snack",Must coordinate with MSC to complete enrollment. We are located directly behind the main Aspire WNY headquarters on the corner of Millersport and N. Forest in Gettzville 
Urban Christian Ministries,967 Jefferson Ave,,Buffalo,14204,urbanchristianministries.org,Rev. Patrick Tharp,716-882-9472,info@urbanchristianministries.org,Teenage Achievers,"Developing character building and positive lifestyles.  Includes Wilderness Programs that enhance survival and leadership skills while hiking, biking and repelling.",1,967 Jefferson,,Buffalo,14204,Curtis Alford Jr.,716-882-9472,curtis@urbanchristianministries.org,"Leadership/ Mentorship, Sports/ Recreation/ Fitness, Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday",5pm to 8:30pm,School Year,Ages 13-18,,"7th, 8th, 9th, 10th, 11th, 12th",,No fees,"To the program, Home from the program",Snack,
Urban Christian Ministries,967 Jefferson Ave,,Buffalo,14204,urbanchristianministries.org,Rev. Patrick Tharp,716-882-9472,info@urbanchristianministries.org,Friends For Life Mentoring Youth Program,Dedicated adults positively affecting young lives.,1,967 Jefferson,,Buffalo,14204,,716-882-9472,info@urbanchristianministries.org,"College/ Career Readiness, Leadership/ Mentorship","Tuesday, Wednesday, Thursday",6pm to 9:30pm,School Year,Ages 17-25,,"11th, 12th, Older Youth/ Out of School",,No fees,We do not provide transportation,Snack,
Urban Christian Ministries,967 Jefferson Ave,,Buffalo,14204,urbanchristianministries.org,Rev. Patrick Tharp,716-882-9472,info@urbanchristianministries.org,Block Club Basketball,"An on the street youth violence prevention program, designed to improve neighborhood relations.",1,967 Jefferson,,Buffalo,14204,,716-882-9472,info@urbanchristianministries.org,"Leadership/ Mentorship, Sports/ Recreation/ Fitness","Monday, Tuesday, Wednesday, Thursday",4pm to 8pm,Summer,Ages 13-18,,"6th, 7th, 8th, 9th, 10th, 11th, 12th",,No fees,We do not provide transportation,Snack,
"Advisory Board for Lovejoy Elderly and Youth (ABLEY), Inc.",24 Ludington St,,Buffalo,14206,,Val Vigiano,716-895-4024,n.a,After-School Program,"A.B.L.E.Y. advisor newsletter, in-school substance abuse prevention, daily meals, after school child care, adult education. A summer recreation program is also offered. Tutoring/homework help, senior citizen outreach.",1,24 Ludington St,,Buffalo,14206,Val Vigiano,716-895-4024,n/a,"Academic Support/ Homework Help, Mental Health/ Social Development, Child care","Monday, Tuesday, Wednesday, Thursday, Friday",2pm to 9:30pm,School Year,Ages 8-18,,"1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th",,No fees,We do not provide transportation,No meals provided,
Kiddie Haven Creative Children,82 Mead St,,North Tonawanda,14120,n/a,n/a,716-694-7877,n/a,Day Care Service,Monday-Friday day care services for youth aged 6-12 years.,1,82 Mead St,,North Tonawanda,14120,n/a,716-694-7877,n/a,"Arts (Visual, Music, Dance, Theater), Child care","Monday, Tuesday, Wednesday, Thursday, Friday",5:45am to 6pm,"School Year, Summer",Ages 6-12,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",,Cost of enrollment is dependent on age. Call for more info!,We do not provide transportation,"Breakfast, Lunch, Snack",
"Lincoln Child Day Care, Inc.",1103 Genesee St,,Buffalo,14211,n/a,n/a,716-897-1200,n/a,Day Care Service,"Lincoln Child Day Care, Inc. is a Day Care Center in Buffalo NY.",1,1103 Genesee St,,Buffalo,14211,,716-897-1200,n/a,Child care,"Monday, Tuesday, Wednesday, Thursday, Friday",6am-6pm,"School Year, Summer",Ages 6.5 weeks - 12 years,92,"Day care age, Pre-K, Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",,No fees,"To the program, Home from the program","Breakfast, Lunch, Snack",
Genesee YMCA,209 East Main St,,Batavia,14020,geneseeymca.org,,585-544-1664,n/a,School-Age Child Care (SACC),"Once children reach school age, multiple influences enter their lives. YMCA School Age Child Care (SACC) ensures that the time after school is occupied creatively and constructively. SACC is an exciting and challenging place, where children ages 5-12 stretch their skills in mind and body. Programs offer a combination of free-choice and structured activities.  Expanded curriculum includes arts and crafts, science, service learning, health & fitness, homework support, literacy, character development and conflict resolution. All programs promote the four core values of caring, honesty, respect and responsibility.  School Age Child Care programs are licensed by the New York State Office of Child & Family Services and local health departments.",1,7001 Lewiston Rd,,Oakfield,14125,Kimberly Butler,585-201-3495,kbutler@glowymca.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday",From dismissal of school to 6pm,School Year,Ages 4-12,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",,"Full time (4-5 days/week) 
Member fee: $140/month
Non-Member fee: $149/month

Part time (3 days/week)
Member fee: $90/month
Non-Member fee: $98/month

Part time (1-2 days/week)
Member fee: $65/month
Non-Member fee: $89/month
",,Snack,
Genesee YMCA,209 East Main St,,Batavia,14020,geneseeymca.org,,585-344-1664,n/a,School-Age Child Care (SACC),"Once children reach school age, multiple influences enter their lives. YMCA School Age Child Care (SACC) ensures that the time after school is occupied creatively and constructively. SACC is an exciting and challenging place, where children ages 5-12 stretch their skills in mind and body. Programs offer a combination of free-choice and structured activities.  Expanded curriculum includes arts and crafts, science, service learning, health & fitness, homework support, literacy, character development and conflict resolution. All programs promote the four core values of caring, honesty, respect and responsibility.  School Age Child Care programs are licensed by the New York State Office of Child & Family Services and local health departments.",8,260 State St,,Batavia,14020,Amber Richmond,585-344-1664 x 1120,arichmond@glowymca.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday",Dismissal from school to 6pm,School Year,Ages 4-12,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",School-Aged Child Care (SACC),"Full Time (4-5 days)
Members: $165/month
Non-Members: $179/month

3 days
Members: $105/month
Non-Members: $115/month

Part Time (1-2 days)
Members: $75/month
Non-Members: $81/month",,Snack,
Boys & Girls Club of Eden,828 Main St,,Eden,14057,http://www.bgcaofeden.org/,Mary Schaeser,716-992-2702,mary@bgcaofeden.org,Project Learn," Project Learn reinforces and enhances the skills and
knowledge young people learn at school through ""high-yield"" learning
activities at the Club and in the home. Based on research that shows
fun, but academically beneficial activities increase academic
performance, these activities include leisure reading, writing
activities, homework help and games like Scrabble® which develop
youth's cognitive skills.",1,8284 N Main St,,Eden,14057,Mary Schaeser,716-992-2702,mary@bgcaofeden.org,Academic Support,Monday-Friday,2pm-6:30pm when school is in session. Summer hours 8am-2pm,"School Year, Summer",Ages 7-18,,,,"2nd-6th graders are $175 for the school year, 7th-9th graders are $87.50, 10th-12th graders are free. Each family is also responsible for a $50 volunteer fee which is refunded when someone in the family volunteers at the Club or at a Club event. The Club also provides free and reduced scholarships for youth on free or reduced lunch.","Transportation is provided from the
high school and GLP school in Eden. Students from the Elementary school
are walked over to the Club (across street) by Club staff.",Snacks,
Literacy New York Buffalo-Niagara,1 Lafayette Square,,Buffalo,14203,literacybuffalo.org,,716-876-8991,n/a,After School Program at Buffalo Municipal Housing Authority,"Literacy New York Buffalo-Niagara currently offer an after school program at the Martha Mitchell Community Center  funded through the United Way of Buffalo & Erie County & the Erie County Youth Bureau. Programs are offered Monday thru Thursday, 3pm-6pm, and are open to all students grades K-8 if space allows.  Activities include homework help, literacy-based computer programs, arts& crafts, and small-group literacy tutoring.  For an application please call 716-876-8991.",1,175 Oakmont Ave,,Buffalo,14215,David Granville,716-876-3308,n/a,"Academic Support/ Homework Help, Computers/ Technology, English Language Learners (ELL), arts and crafts","Monday, Tuesday, Wednesday, Thursday",3pm to 6pm,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",,,"To the program, Home from the program",No meals provided,
Genesee YMCA,209 East Main St,,Batavia,14020,geneseeymca.org,,585-344-1664,n/a,School-Age Child Care (SACC),"Once children reach school age, multiple influences enter their lives. YMCA School Age Child Care (SACC) ensures that the time after school is occupied creatively and constructively. SACC is an exciting and challenging place, where children ages 5-12 stretch their skills in mind and body. Programs offer a combination of free-choice and structured activities.  Expanded curriculum includes arts and crafts, science, service learning, health & fitness, homework support, literacy, character development and conflict resolution. All programs promote the four core values of caring, honesty, respect and responsibility.  School Age Child Care programs are licensed by the New York State Office of Child & Family Services and local health departments. ",8,Routes 5 and 77,,Corfu,14036,,585-599-4525,n/a,"Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Sports/ Recreation/ Fitness, Mental Health/ Social Development, arts and crafts","Monday, Tuesday, Wednesday, Thursday, Friday",Dismissal of school to 6pm,School Year,Ages 4-12,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",School-Aged Child Care (SACC),"Full Time (AM and PM): $180/month
3 Day (AM and PM): $108/month
Part Time (AM and PM until 4): $100/month
AM only or PM only: $85/month","To the program, Home from the program",Snack,
Genesee YMCA,209 East Main St,,Batavia,14020,geneseeymca.org,,585-344-1664,n/a,School-Age Child Care (SACC),"Once children reach school age, multiple influences enter their lives. YMCA School Age Child Care (SACC) ensures that the time after school is occupied creatively and constructively. SACC is an exciting and challenging place, where children ages 5-12 stretch their skills in mind and body. Programs offer a combination of free-choice and structured activities.  Expanded curriculum includes arts and crafts, science, service learning, health & fitness, homework support, literacy, character development and conflict resolution. All programs promote the four core values of caring, honesty, respect and responsibility.  School Age Child Care programs are licensed by the New York State Office of Child & Family Services and local health departments. ",8,1 Mustang Drive,,Medina,14103,Courtney Burch,585-798-2040,cburch@glowymca.org,"Academic Support/ Homework Help, Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Mental Health/ Social Development, arts and crafts","Monday, Tuesday, Wednesday, Thursday, Friday",Dismissal from school until 6pm,School Year,Ages 4-12,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",School-Aged Child Care (SACC),"Full Time
Members $172/month
Non Members $185/month

3 Day
Members $113/month
Non members $121.month

Part time
Members $83
Non members $88","To the program, Home from the program",Snack,
Genesee YMCA,209 East Main St,,Batavia,14020,geneseeymca.org,,585-344-1664,n/a,School-Age Child Care (SACC),"Once children reach school age, multiple influences enter their lives. YMCA School Age Child Care (SACC) ensures that the time after school is occupied creatively and constructively. SACC is an exciting and challenging place, where children ages 5-12 stretch their skills in mind and body. Programs offer a combination of free-choice and structured activities.  Expanded curriculum includes arts and crafts, science, service learning, health & fitness, homework support, literacy, character development and conflict resolution. All programs promote the four core values of caring, honesty, respect and responsibility.  School Age Child Care programs are licensed by the New York State Office of Child & Family Services and local health departments. ",8,324 East Ave,,Albion,14411,Courtney Burch,585-798-2040,cburch@glowymca.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Mental Health/ Social Development, arts and crafts","Monday, Tuesday, Wednesday, Thursday, Friday",Dismissal from school until 6pm,School Year,Ages 4-12,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",School-Aged Child Care (SACC),"Full Time/month:
Members $144
Non Members $155

3 Days/month:
Members $96
Non Members $103

Part Time/month:
Members $70
Non Members $75","To the program, Home from the program",Snack,
Genesee YMCA,209 East Main St,,Batavia,14020,geneseeymca.org,,585-344-1664,n/a,School-Age Child Care (SACC),"Once children reach school age, multiple influences enter their lives. YMCA School Age Child Care (SACC) ensures that the time after school is occupied creatively and constructively. SACC is an exciting and challenging place, where children ages 5-12 stretch their skills in mind and body. Programs offer a combination of free-choice and structured activities.  Expanded curriculum includes arts and crafts, science, service learning, health & fitness, homework support, literacy, character development and conflict resolution. All programs promote the four core values of caring, honesty, respect and responsibility.  School Age Child Care programs are licensed by the New York State Office of Child & Family Services and local health departments. ",8,3338 East Main St,,Attica,14011,,585-591-0400,http://www.atticacsd.org/,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Mental Health/ Social Development, arts and crafts","Monday, Tuesday, Wednesday, Thursday, Friday",Dismissal from school until 6pm,School Year,Ages 4-12,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",School-Aged Child Care (SACC),"Full time/month:
Members $172
Nonmembers $185

3 days/month:
Members $112
Nonmembers $120

Part Time/month:
Members $80
Nonmembers $88","To the program, Home from the program",Snack,
Genesee YMCA,209 East Main St,,Batavia,14020,geneseeymca.org,,585-344-1664,n/a,School-Age Child Care (SACC),"Once children reach school age, multiple influences enter their lives. YMCA School Age Child Care (SACC) ensures that the time after school is occupied creatively and constructively. SACC is an exciting and challenging place, where children ages 5-12 stretch their skills in mind and body. Programs offer a combination of free-choice and structured activities.  Expanded curriculum includes arts and crafts, science, service learning, health & fitness, homework support, literacy, character development and conflict resolution. All programs promote the four core values of caring, honesty, respect and responsibility.  School Age Child Care programs are licensed by the New York State Office of Child & Family Services and local health departments. ",8,153 W Buffalo St,,Warsaw,14569,,585-786-8000,n/a,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Mental Health/ Social Development, arts and crafts","Monday, Tuesday, Wednesday, Thursday, Friday",Dismissal from school until 6pm,School Year,Ages 4-12,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",School-Aged Child Care (SACC),"Full time/month
Members $172
Non members $185

3 Days/month
Members $112
Non members $120

Part Time
Members $80
Non members $88","To the program, Home from the program",Snack,
Genesee YMCA,209 East Main St,,Batavia,14020,geneseeymca.org,,585-344-1664,n/a,School-Age Child Care (SACC),"Once children reach school age, multiple influences enter their lives. YMCA School Age Child Care (SACC) ensures that the time after school is occupied creatively and constructively. SACC is an exciting and challenging place, where children ages 5-12 stretch their skills in mind and body. Programs offer a combination of free-choice and structured activities.  Expanded curriculum includes arts and crafts, science, service learning, health & fitness, homework support, literacy, character development and conflict resolution. All programs promote the four core values of caring, honesty, respect and responsibility.  School Age Child Care programs are licensed by the New York State Office of Child & Family Services and local health departments. ",8,5850 School Rd,,Gainesville,14066,,585-493-5450,n/a,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Mental Health/ Social Development, arts and crafts","Monday, Tuesday, Wednesday, Thursday, Friday",Dismissal from school until 6pm,School Year,Ages 4-12,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",School-Aged Child Care (SACC),"Full Time/month
Members $ 172
Non members $185

3 days/month
Members $112
Non members $120

Part Time
Members $80
Non members $88","To the program, Home from the program",Snack,
Brierwood Child Care and Preschool,4920 William St,,Lancaster,14086,brierwoodchildcare.com,,716-206-2510,n/a,School Age Child Care,"The After-School program will be a time for children to unwind, do homework, release energy, develop their own interests and socialize with friends.  The children will be engaged in daily-supervised indoor and outdoor (weather permitting) play.  An area for rest or study (if desired) is also available to the children.  Child initiated, group initiated and teacher initiated activities will take place.  The children will also have access to a computer, art materials, books and age appropriate games and toys.  There will be opportunities for the children to participate in group games or to work or play alone.",5,5540 Southwestern Blvd,,Hamburg,14075,Wendy Filkorn,716-646-0233,n/a,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Sports/ Recreation/ Fitness, Mental Health/ Social Development, arts and crafts","Monday, Tuesday, Wednesday, Thursday, Friday",Dismissal from school until 6:00pm,School Year,Ages 5-10,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th",,"Fees vary, please call for more info!",To the program,Snack,
Brierwood Child Care and Preschool,4920 William St,,Lancaster,14086,brierwoodchildcare.com,,716-206-2510,n/a,School Age Child Care,"The After-School program will be a time for children to unwind, do homework, release energy, develop their own interests and socialize with friends.  The children will be engaged in daily-supervised indoor and outdoor (weather permitting) play.  An area for rest or study (if desired) is also available to the children.  Child initiated, group initiated and teacher initiated activities will take place.  The children will also have access to a computer, art materials, books and age appropriate games and toys.  There will be opportunities for the children to participate in group games or to work or play alone.",5,4920 William Street,,Lancaster,14086,Lana Penfold, 716-681-2500,n/a,"Academic Support/ Homework Help, Computers/ Technology, Sports/ Recreation/ Fitness, Mental Health/ Social Development, arts and crafts","Monday, Tuesday, Wednesday, Thursday, Friday",Dismissal from school until 6pm,School Year,Ages 5-10,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th",,Fees vary; please call for more info!,To the program,Snack,
Brierwood Child Care and Preschool,4920 William St,,Lancaster,14086,brierwoodchildcare.com,,716-206-2510,n/a,School-Age Child Care,"The After-School program will be a time for children to unwind, do homework, release energy, develop their own interests and socialize with friends.  The children will be engaged in daily-supervised indoor and outdoor (weather permitting) play.  An area for rest or study (if desired) is also available to the children.  Child initiated, group initiated and teacher initiated activities will take place.  The children will also have access to a computer, art materials, books and age appropriate games and toys.  There will be opportunities for the children to participate in group games or to work or play alone.",5,6400 New Taylor Road,,Orchard Park,14127,Sandy Grant, 716-662-5252,n/a,"Academic Support/ Homework Help, Health/ Nutrition, Sports/ Recreation/ Fitness, Mental Health/ Social Development, arts and crafts","Monday, Tuesday, Wednesday, Thursday, Friday",Dismissal from school until 6pm,School Year,Ages 5-10,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th",,Fees vary; please call for more information!,To the program,Snack,
Brierwood Child Care and Preschool,4920 William St,,Lancaster,14086,brierwoodchildcare.com,,716-206-2510,n/a,School Age Daycare,"The After-School program will be a time for children to unwind, do homework, release energy, develop their own interests and socialize with friends.  The children will be engaged in daily-supervised indoor and outdoor (weather permitting) play.  An area for rest or study (if desired) is also available to the children.  Child initiated, group initiated and teacher initiated activities will take place.  The children will also have access to a computer, art materials, books and age appropriate games and toys.  There will be opportunities for the children to participate in group games or to work or play alone.",5,903 Hopkins Road,,Williamsville,14221,Gretchen How,716-639-4444,n/a,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Computers/ Technology, Health/ Nutrition, Sports/ Recreation/ Fitness, Mental Health/ Social Development, arts and crafts","Monday, Tuesday, Wednesday, Thursday, Friday",Dismissal from school until 6pm,"School Year, Summer",Ages 5-10,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th",,Fees vary; please call for more information!,To the program,Snack,
